,artist,song_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrical_valence,pca1,pca2
239,Young the Giant,Waves,=,+,=,--,=,--,++,+,=,=,--,0.5849622161774629,0.24531470635040065
240,Machine Head,Death Church,-,++,=,--,++,--,++,++,=,=,--,-15.356097419740776,-0.3520126698286209
241,The Skyliners,Since I Don't Have You,--,++,=,--,++,+,++,++,++,=,--,41.81541470695286,0.3605595619490201
242,Nirvana,Floyd The Barber (Live at Pine Street Theatre),=,++,=,--,+,--,++,++,++,=,--,-15.52916096174678,-0.4499616863802998
243,Anthony Evans,Yes I Will 2.0,=,++,=,--,=,--,=,++,++,=,--,4.666202854086644,0.09872166391702546
244,Mr. Mister,We Belong To No One,=,+,=,--,++,-,++,++,++,=,--,-13.298654538694246,0.7260531189616128
245,Los Ángeles Azules,Cumbia India,=,=,=,--,+,-,++,=,++,=,--,19.762144358791566,0.7637291527834486
246,The Stylistics,Only from the Heart,=,=,=,--,=,++,++,++,+,=,--,-14.044041433795282,0.687032218648684
247,Say Anything,The Hardest,=,++,=,--,+,=,++,=,-,=,--,-21.159659280950383,-0.6463198745781507
248,TOKiMONSTA,"NO WAY (feat. Isaiah Rashad, Joey Purp, & Ambré)",=,+,=,--,++,+,++,+,++,=,--,5.107987580721112,-0.7228152837385227
249,Stray Kids,극과 극 N/S,++,+,=,--,+,--,=,=,=,=,--,-31.420573194124245,0.12331009467058507
